Document Number,Surname,Given Names,Date of Birth,Date of Expiry,Nationality,Sex
,,,,,,
,,,,,,
A1234567,DOE,JOHN MICHAEL,1990-01-01,2030-01-01,USA,M
X1234567,DOE,JOHN ALAN,1985-08-15,2025-08-15,USA,M
,,,,,,
123456789,Doe,John,1990-01-01,2030-01-01,USA,M
A1234567,DOE,JOHN MICHAEL,1990-01-01,2030-12-31,USA,M
,,,,,,
XA1234567,DOE,JOHN MICHAEL,1990-05-15,2030-05-15,GBR,M
X1234567,DOE,JOHN MICHAEL,1990-05-15,2025-05-14,USA,M
123456789,DOE,JOHN MICHAEL,1990-01-01,2030-01-01,USA,M
N1234567,DOE,JOHN MICHAEL,1985-05-15,2025-05-15,USA,M
C01X34567,DOE,JOHN MICHAEL,1985-04-12,2025-04-12,USA,M
X1234567,DOE,JOHN MICHAEL,1990-05-15,2030-05-15,USA,M
,,,,,,
